s;i(l_motor);v(s1);v(s2);v(s3);v(s4);v(sop1);v(sop2);v(sop3);v(sop4);time;v(vbrake);v(vdirection);v(venable)
0;0;0;0;0;0;0;0;0;0;0;0;0;0
1,60000001869776E-6;7,60502771868232E-15;1,11461395135848E-6;1,11463168650516E-6;1,11461395135848E-6;1,11463168650516E-6;1,01805078983307;-0,539227724075317;1,01805078983307;-0,539227724075317;1,60000001869776E-6;0;0;5
1,60800198045763E-6;7,47535713885306E-15;1,12002840069181E-6;1,12004624952533E-6;1,12002840069181E-6;1,12004624952533E-6;0,995645761489868;-0,547415971755981;0,995645761489868;-0,547415971755981;1,60800198045763E-6;0;0;5
1,60850197516993E-6;7,48313628944064E-15;1,12036605059984E-6;1,12038389943336E-6;1,12036605059984E-6;1,12038389943336E-6;0,994253158569336;-0,547926962375641;0,994253158569336;-0,547926962375641;1,60850197516993E-6;0;0;5
1,60950196459453E-6;7,49251463823264E-15;1,12104021354753E-6;1,12105806238105E-6;1,12104021354753E-6;1,12105806238105E-6;0,991486966609955;-0,548943698406219;0,991486966609955;-0,548943698406219;1,60950196459453E-6;0;0;5
1,60973399943032E-6;7,49471014763192E-15;9,38715456868522E-5;9,3871567514725E-5;9,38715456868522E-5;9,3871567514725E-5;0,990850925445557;-0,549177944660187;0,990850925445557;-0,549177944660187;1,60973399943032E-6;0;0;5
1,60993101872009E-6;7,49395459424297E-15;0,000251385266892612;0,000251385295996442;0,000251385266892612;0,000251385295996442;0,990312337875366;-0,549376428127289;0,990312337875366;-0,549376428127289;1,60993101872009E-6;0;0;5
1,61000104981213E-6;7,49276874811682E-15;0,000307271955534816;0,000307271984638646;0,000307271955534816;0,000307271984638646;0,990121483802795;-0,549446821212769;0,990121483802795;-0,549446821212769;1,61000104981213E-6;0;0;5
1,61002003551403E-6;7,49278230064397E-15;0,000322439707815647;0,000322439707815647;0,000322439707815647;0,000322439707815647;0,99006974697113;-0,549465894699097;0,99006974697113;-0,549465894699097;1,61002003551403E-6;0;0;5
1,61005800691782E-6;7,49266964526199E-15;0,000352772854967043;0,000352772884070873;0,000352772854967043;0,000352772884070873;0,989966213703155;-0,549504101276398;0,989966213703155;-0,549504101276398;1,61005800691782E-6;0;0;5
1,61013394972542E-6;7,49213686153816E-15;0,000413425383158028;0,000413425383158028;0,000413425383158028;0,000413425383158028;0,989759385585785;-0,549580335617065;0,989759385585785;-0,549580335617065;1,61013394972542E-6;0;0;5
1,61028583534062E-6;7,48887578469123E-15;0,00053467508405447;0,000534675142262131;0,00053467508405447;0,000534675142262131;0,989346444606781;-0,549732744693756;0,989346444606781;-0,549732744693756;1,61028583534062E-6;0;0;5
1,61058972025785E-6;7,4829330015333E-15;0,000776953587774187;0,000776953587774187;0,000776953587774187;0,000776953587774187;0,988523185253143;-0,550036787986755;0,988523185253143;-0,550036787986755;1,61058972025785E-6;0;0;5
1,61119737640547E-6;7,47968039501584E-15;0,00126062799245119;0,00126062799245119;0,00126062799245119;0,00126062799245119;0,986887454986572;-0,550641715526581;0,986887454986572;-0,550641715526581;1,61119737640547E-6;0;0;5
1,61241280238755E-6;7,45061022426607E-15;0,0022244572173804;0,0022244572173804;0,0022244572173804;0,0022244572173804;0,983658671379089;-0,551839768886566;0,983658671379089;-0,551839768886566;1,61241280238755E-6;0;0;5
1,61300204126746E-6;7,44360356772639E-15;0,0026900649536401;0,00269006518647075;0,0026900649536401;0,00269006518647075;0,982113599777222;-0,552414953708649;0,982113599777222;-0,552414953708649;1,61300204126746E-6;0;0;5
1,61320190272818E-6;7,44792004762559E-15;0,00284770829603076;0,0028477085288614;0,00284770829603076;0,0028477085288614;0,981593191623688;-0,552609026432037;0,981593191623688;-0,552609026432037;1,61320190272818E-6;0;0;5
1,61360173933645E-6;7,44640216458412E-15;0,00316274305805564;0,00316274305805564;0,00316274305805564;0,00316274305805564;0,980555295944214;-0,552996397018433;0,980555295944214;-0,552996397018433;1,61360173933645E-6;0;0;5
1,61400100751052E-6;7,44137417700921E-15;0,0034768816549331;0,0034768816549331;0,0034768816549331;0,0034768816549331;0,979524672031403;-0,553381621837616;0,979524672031403;-0,553381621837616;1,61400100751052E-6;0;0;5
