s;i(rlast);i(rshunt);ic(t1);ic(t2);time;v(uin);v(uout)
0,00100017839577049;-0,593768417835236;-0,0389370769262314;2,01755021578265E-8;0,555618286132812;0,00100017839577049;0,011211103759706;-5,93768423318153E-10
0,00100036174990237;-0,593673706054687;-0,038936298340559;-2,07377173211398E-8;0,555524587631226;0,00100036174990237;0,0227251853793859;-5,93673721294152E-10
0,00100056314840913;-0,593756258487701;-0,0389314144849777;2,01765537610754E-8;0,555611968040466;0,00100056314840913;0,035375602543354;-5,93756266376033E-10
0,00100081670098007;-0,593666434288025;-0,0389237515628338;-2,15875122222542E-8;0,555529654026031;0,00100081670098007;0,0512897819280624;-5,93666449333341E-10
0,0010012291604653;-0,593722283840179;-0,0389008820056915;1,96162446286507E-8;0,555608451366425;0,0010012291604653;0,0771525502204895;-5,9372229355148E-10
0,00100156071130186;-0,593623280525208;-0,0388781242072582;-2,24988383479285E-8;0,555532217025757;0,00100156071130186;0,0979034453630447;-5,93623261657683E-10
0,00100196059793234;-0,593662321567535;-0,0388441495597362;1,93644122958858E-8;0,555605292320251;0,00100196059793234;0,122876688838005;-5,9366234150815E-10
0,0010023950599134;-0,593553423881531;-0,0388061814010143;-2,29236185589343E-8;0,555534243583679;0,0010023950599134;0,149916440248489;-5,93553428629434E-10
0,00100302451755852;-0,593561887741089;-0,0387457832694054;1,93007618776164E-8;0,555603086948395;0,00100302451755852;0,188892379403114;-5,93561866324421E-10
0,00100379483774304;-0,593417942523956;-0,0386700667440891;-2,3239827839916E-8;0,555535018444061;0,00100379483774304;0,236180379986763;-5,9341798142043E-10
0,00100479472894222;-0,593376696109772;-0,0385625958442688;1,91067854871108E-8;0,555601239204407;0,00100479472894222;0,29672846198082;-5,93376681123914E-10
0,00100579473655671;-0,593196749687195;-0,0384489111602306;-2,36342021509017E-8;0,555534958839417;0,00100579473655671;0,356105476617813;-5,93196769482773E-10
0,0010067947441712;-0,593135058879852;-0,0383227877318859;1,87527202655247E-8;0,555599331855774;0,0010067947441712;0,414077132940292;-5,93135041082604E-10
0,0010077947517857;-0,592935264110565;-0,038187675178051;-2,41524791277925E-8;0,555534720420837;0,0010077947517857;0,470414608716965;-5,92935256449323E-10
